uid_1,uid_2,name1,name2,sound_dist,name_dist,is_psfix,cat,res,to_keep
8883d205-6b8a-5d77-bc5f-c3e51258b9e3,da821b0c-0d01-5518-8fd5-3df3d8a2bd9f,15 Audio Track,15 Seta El Sobah,0.0002784467711012979,0.4543650793650794,0,below_st--below_nt--not_psfix,0,-1
5b8ad18b-99e0-560f-8d08-e87242e6ebeb,ccbb8de2-4728-5fd9-88dd-b5a9517ba8d0,Mdomo Wake Sukari,Kula Mara,0.026489584125319588,0.5234204793028323,0,below_st--below_nt--not_psfix,0,-1
3af95b04-fe90-5299-9677-6ef0f6702a72,02e7defe-7b31-5f1e-ae87-7370d9f80662,T128AdiComp5Mri105bpm_stereo,T128AdiComp5Mri105bpm.L,0.2717579340926005,0.06739130434782603,0,below_st--below_nt--not_psfix,0,-1
cbd8e6f9-f971-53fa-858d-ca2146244cf5,0f51ad6b-cecf-510e-816d-d01a01bc54c5,02 Ayyu Shayyin Ara Wa-Asma'U Hamsa,01 Fertash,0.016655007142572845,0.4928571428571429,0,below_st--below_nt--not_psfix,0,-1
2a2e71db-a99c-5e3c-8ead-cd95947ee82e,95e8dbec-b640-52ce-b69a-bcbd74c88cc4,Jaydee Moto_Side A,3. Understanding feat. TID_Jaydee Moto_Side A,4.016753502395825,0.5178451178451178,1,above_st--below_nt--psfix,0,-1
23d339d8-d2c4-5c59-8cc0-5b4d8fa6e3fd,5cda18bc-b270-5f3b-bb36-3b93d900d016,1. Track 1_Cassette_6_Side B_Corrected,1. Track 1_Cassette_6_Side B,0.3164467745160935,0.05263157894736836,1,above_st--below_nt--psfix,0,-1
b5234cfe-2c24-5a28-8534-9bfd579995b9,9ae8cf8f-d9ed-5cae-ae7c-b1837f414142,New Bahlo No. 4_New Bhalo No. 4_Side A_Corrected,New Bhalo No. 4_Side A,0.012586353581233988,0.14015151515151514,0,below_st--below_nt--not_psfix,0,-1
6870e3af-64b4-528b-b318-a860e89849df,039c960c-2233-5ae1-8cfa-892c56b8755a,3. Mimi Sitaki_SilverStar No. 2_Side B,SilverStar No. 2_Side B,3.2634059346000948,0.2909992372234935,1,above_st--below_nt--psfix,0,-1
0ae8fba8-b23e-58c9-8313-9bf37a1aa2f3,8e4e27d7-e05f-5f25-ba10-b15b2ea36296,3. Shamba_Noorul Oyoon Zanzibar C-90_Noor Ul Oyoon Musical Club_Side A__Corrected,3. Shamba_Noorul Oyoon Zanzibar C-90_Noor Ul Oyoon Musical Club_Side A,0.3812277297137742,0.02716049382716046,1,above_st--below_nt--psfix,0,-1
9413a2aa-1048-5557-8ba8-8fd38a9e9905,df6fbb17-6c9e-58da-968c-045ce60314f9,20 Best of E.A's 1950s_The African Sounds_Side B,5. Marafiki Wengine_20 Best of E.A's 1950s_The African Sounds_Side B,3.3253012990594084,0.2542892156862745,1,above_st--below_nt--psfix,0,-1
